Freq.	V(out)
3.38844156139200e+02	(1.36499901275746e+01dB,1.67387330168070e+02°)
3.46736850452529e+02	(1.40749393457600e+01dB,1.66609584519017e+02°)
3.54813389233573e+02	(1.45004260021273e+01dB,1.65817007929981e+02°)
3.63078054770099e+02	(1.49264696106744e+01dB,1.65008647732352e+02°)
3.71535229097170e+02	(1.53530868842106e+01dB,1.64183501714202e+02°)
3.80189396320558e+02	(1.57802912639614e+01dB,1.63340515026107e+02°)
3.89045144994278e+02	(1.62080923788215e+01dB,1.62478576954769e+02°)
3.98107170553494e+02	(1.66364954249887e+01dB,1.61596517584872e+02°)
4.07380277804110e+02	(1.70655004558387e+01dB,1.60693104369287e+02°)
4.16869383470332e+02	(1.74951015707884e+01dB,1.59767038635548e+02°)
4.26579518801589e+02	(1.79252859906220e+01dB,1.58816952072823e+02°)
4.36515832240163e+02	(1.83560330055778e+01dB,1.57841403256505e+02°)
4.46683592150960e+02	(1.87873127815499e+01dB,1.56838874270928e+02°)
4.57088189614872e+02	(1.92190850082917e+01dB,1.55807767528690e+02°)
4.67735141287195e+02	(1.96512973728591e+01dB,1.54746402891375e+02°)
4.78630092322635e+02	(2.00838838406077e+01dB,1.53653015235105e+02°)
4.89778819368442e+02	(2.05167627258433e+01dB,1.52525752630917e+02°)
5.01187233627268e+02	(2.09498345344224e+01dB,1.51362675351433e+02°)
5.12861383991361e+02	(2.13829795617061e+01dB,1.50161755957587e+02°)
5.24807460249769e+02	(2.18160552313684e+01dB,1.48920880776799e+02°)
5.37031796370249e+02	(2.22488931643950e+01dB,1.47637853134367e+02°)
5.49540873857620e+02	(2.26812959732322e+01dB,1.46310398768663e+02°)
5.62341325190345e+02	(2.31130337842076e+01dB,1.44936173936028e+02°)
5.75439937337152e+02	(2.35438405029294e+01dB,1.43512776776411e+02°)
5.88843655355584e+02	(2.39734098526733e+01dB,1.42037762589369e+02°)
6.02559586074353e+02	(2.44013912358668e+01dB,1.40508663739548e+02°)
6.16595001861477e+02	(2.48273854943647e+01dB,1.38923014966823e+02°)
6.30957344480188e+02	(2.52509406760005e+01dB,1.37278384903964e+02°)
6.45654229034650e+02	(2.56715479530657e+01dB,1.35572414603641e+02°)
6.60693448007591e+02	(2.60886378829680e+01dB,1.33802863820380e+02°)
6.76082975391976e+02	(2.65015772515875e+01dB,1.31967665649831e+02°)
6.91830970918931e+02	(2.69096667935262e+01dB,1.30064989896191e+02°)
7.07945784384132e+02	(2.73121401372156e+01dB,1.28093315182519e+02°)
7.24435960074984e+02	(2.77081643714609e+01dB,1.26051509307396e+02°)
7.41310241300911e+02	(2.80968426657967e+01dB,1.23938916685558e+02°)
7.58577575029177e+02	(2.84772193904775e+01dB,1.21755450883585e+02°)
7.76247116628685e+02	(2.88482881617866e+01dB,1.19501689286234e+02°)
7.94328234724275e+02	(2.92090031724422e+01dB,1.17178965872512e+02°)
8.12830516164092e+02	(2.95582940444668e+01dB,1.14789457021333e+02°)
8.31763771102664e+02	(2.98950842558128e+01dB,1.12336254341951e+02°)
8.51138038202369e+02	(3.02183129422854e+01dB,1.09823417892847e+02°)
8.70963589956073e+02	(3.05269595729507e+01dB,1.07256003008464e+02°)
8.91250938133738e+02	(3.08200706631541e+01dB,1.04640054465208e+02°)
9.12010839355902e+02	(3.10967873604024e+01dB,1.01982563003874e+02°)
9.33254300796983e+02	(3.13563724606431e+01dB,9.92913813376785e+01°)
9.54992586021428e+02	(3.15982352363668e+01dB,9.65750995731295e+01°)
9.77237220955802e+02	(3.18219524275853e+01dB,9.38428832590036e+01°)
9.99999999999991e+02	(3.20272838908677e+01dB,9.11042806229049e+01°)
1.02329299228075e+03	(3.22141817225142e+01dB,8.83690085444694e+01°)
1.04712854805089e+03	(3.23827921423254e+01dB,8.56467289756659e+01°)
1.07151930523760e+03	(3.25334499887063e+01dB,8.29468285184612e+01°)
1.09647819614318e+03	(3.26666662601741e+01dB,8.02782135344008e+01°)
1.12201845430195e+03	(3.27831096646233e+01dB,7.76491315611399e+01°)
1.14815362149687e+03	(3.28835835397319e+01dB,7.50670271842677e+01°)
1.17489755493952e+03	(3.29689997430616e+01dB,7.25384372912956e+01°)
1.20226443461740e+03	(3.30403511663531e+01dB,7.00689272639207e+01°)
1.23026877081237e+03	(3.30986844214448e+01dB,6.76630665813511e+01°)
1.25892541179416e+03	(3.31450740128423e+01dB,6.53244398194021e+01°)
1.28824955169312e+03	(3.31805990027863e+01dB,6.30556873299531e+01°)
1.31825673855640e+03	(3.32063228380096e+01dB,6.08585689852672e+01°)
1.34896288259164e+03	(3.32232766847777e+01dB,5.87340442064824e+01°)
1.38038426460287e+03	(3.32324463398577e+01dB,5.66823619038843e+01°)
1.41253754462274e+03	(3.32347625661688e+01dB,5.47031547531767e+01°)
1.44543977074591e+03	(3.32310945477251e+01dB,5.27955332424313e+01°)
1.47910838816819e+03	(3.32222460651507e+01dB,5.09581759973815e+01°)
1.51356124843619e+03	(3.32089539511961e+01dB,4.91894139161965e+01°)
1.54881661891247e+03	(3.31918883835914e+01dB,4.74873065523209e+01°)
1.58489319246110e+03	(3.31716545984069e+01dB,4.58497099331795e+01°)
1.62181009735891e+03	(3.31487956502672e+01dB,4.42743355876714e+01°)
1.65958690743754e+03	(3.31237958976834e+01dB,4.27588009918025e+01°)
1.69824365246173e+03	(3.30970849461079e+01dB,4.13006719299683e+01°)
1.73780082874936e+03	(3.30690418335946e+01dB,3.98974974586533e+01°)
1.77827941003891e+03	(3.30399992915764e+01dB,3.85468382492632e+01°)
1.81970085860997e+03	(3.30102479547819e+01dB,3.72462891216769e+01°)
1.86208713666285e+03	(3.29800404293244e+01dB,3.59934965606351e+01°)
1.90546071796323e+03	(3.29495951566144e+01dB,3.47861719638381e+01°)
1.94984459975803e+03	(3.29191000335366e+01dB,3.36221013074155e+01°)
1.99526231496886e+03	(3.28887157670228e+01dB,3.24991518404710e+01°)
2.04173794466951e+03	(3.28585789544804e+01dB,3.14152763477166e+01°)
2.08929613085402e+03	(3.28288048913189e+01dB,3.03685154464588e+01°)
2.13796208950221e+03	(3.27994901137157e+01dB,2.93569983152108e+01°)
2.18776162394953e+03	(3.27707146894101e+01dB,2.83789421892528e+01°)
2.23872113856832e+03	(3.27425442722064e+01dB,2.74326509055893e+01°)
2.29086765276775e+03	(3.27150319374767e+01dB,2.65165127280124e+01°)
2.34422881531990e+03	(3.26882198165678e+01dB,2.56289976434619e+01°)
2.39883291901947e+03	(3.26621405479563e+01dB,2.47686542856263e+01°)
2.45470891568501e+03	(3.26368185624646e+01dB,2.39341066086895e+01°)
2.51188643150955e+03	(3.26122712189792e+01dB,2.31240504129816e+01°)
2.57039578276884e+03	(3.25885098060817e+01dB,2.23372497994521e+01°)
2.63026799189535e+03	(3.25655404238384e+01dB,2.15725336157359e+01°)
2.69153480392689e+03	(3.25433647588268e+01dB,2.08287919391220e+01°)
2.75422870333814e+03	(3.25219807642794e+01dB,2.01049726339768e+01°)
2.81838293126442e+03	(3.25013832561111e+01dB,1.94000780077472e+01°)
2.88403150312658e+03	(3.24815644345040e+01dB,1.87131615853877e+01°)
2.95120922666635e+03	(3.24625143397265e+01dB,1.80433250143962e+01°)
3.01995172040198e+03	(3.24442212499387e+01dB,1.73897151076307e+01°)
3.09029543251356e+03	(3.24266720278827e+01dB,1.67515210288595e+01°)
3.16227766016835e+03	(3.24098524225930e+01dB,1.61279716214493e+01°)
3.23593656929625e+03	(3.23937473315663e+01dB,1.55183328793656e+01°)
3.31131121482588e+03	(3.23783410282064e+01dB,1.49219055572244e+01°)
3.38844156139199e+03	(3.23636173588016e+01dB,1.43380229165005e+01°)
3.46736850452528e+03	(3.23495599127981e+01dB,1.37660486010684e+01°)
